sentence,sentiment
"รู้สึกดีวันนี้","positive"
"รู้สึกโกรธมาก","negative"
"เหงามากเลยวันนี้","negative"
"สุขใจที่ได้อยู่กับครอบครัว","positive"
"เบื่อชีวิตนี้จริงๆ","negative"
"รู้สึกท้อแท้กับทุกสิ่ง","negative"
"มีกำลังใจที่จะทำต่อ","positive"
"รู้สึกหวั่นไหวและวิตกกังวล","negative"
"ชีวิตนี้มันดีจริงๆ","positive"
"เครียดจากการทำงานหนัก","negative"
"ขอโทษที่ทำให้ผิดหวัง","negative"
"รู้สึกสบายใจที่ได้พักผ่อน","positive"
"พยายามทำให้ดีที่สุด","positive"
"มีความสุขที่ได้อยู่กับเพื่อน","positive"
"รู้สึกกลัวการสูญเสีย","negative"
"เพื่อนทำให้รู้สึกดี","positive"
"คิดมากกับปัญหาที่เกิดขึ้น","negative"
"อยากหลีกหนีจากความเครียด","negative"
"วันนี้ตื่นมาแล้วรู้สึกดี","positive"
"รู้สึกท้อแท้กับสิ่งที่เกิดขึ้น","negative"
"เครียดจากเรื่องที่ไม่สามารถควบคุมได้","negative"
"ความสุขเล็กๆ ทำให้รู้สึกดี","positive"
"หัวใจหนักหน่วงกับความกังวล","negative"
"รู้สึกเหมือนชีวิตกำลังไปในทางที่ดีขึ้น","positive"
"รู้สึกผิดหวังกับความล้มเหลว","negative"
"รู้สึกขอบคุณทุกคนที่ให้กำลังใจ","positive"
"รู้สึกดีใจที่ได้ทำตามฝัน","positive"
"เครียดกับการทำงาน","negative"
"เพื่อนเป็นแรงบันดาลใจให้กับชีวิต","positive"
"ทุกอย่างดูเหมือนจะไม่เป็นไปตามที่หวัง","negative"
"รู้สึกอุ่นใจที่มีคนคอยสนับสนุน","positive"
"รู้สึกเจ็บปวดจากการสูญเสีย","negative"
"มีความสุขที่ได้ใช้เวลาอยู่กับครอบครัว","positive"
"ไม่อยากเจอสิ่งที่เครียดอีกแล้ว","negative"
"วันนี้รู้สึกสดชื่นและมีพลัง","positive"
"การตัดสินใจผิดพลาดทำให้รู้สึกผิดหวัง","negative"
"วันนี้รู้สึกภูมิใจในตัวเอง","positive"
"รู้สึกไม่มั่นใจในตัวเอง","negative"
"วันนี้ได้เรียนรู้อะไรใหม่ๆ","positive"
"รู้สึกหวาดกลัวกับอนาคต","negative"
"รู้สึกชื่นชมความพยายามของตัวเอง","positive"
"มีความกังวลเกี่ยวกับการตัดสินใจ","negative"
"รู้สึกเบื่อหน่ายกับสถานการณ์ตอนนี้","negative"
"วันนี้รู้สึกมีความหวัง","positive"
"รู้สึกโดดเดี่ยวและเหงา","negative"
"ชีวิตนี้มีความหมายเมื่อได้ช่วยคนอื่น","positive"
"รู้สึกเครียดมากเพราะทำไม่ทันเวลา","negative"
"รู้สึกผ่อนคลายหลังจากการพักผ่อน","positive"
"รู้สึกอ่อนแอเมื่อเจอกับปัญหาที่ยิ่งใหญ่","negative"
"พยายามทำให้ดีที่สุดในการทำงาน","positive"
"รู้สึกว่าทุกอย่างมันยากเกินไป","negative"
"หัวใจเต็มไปด้วยความสุขในวันนี้","positive"
"ไม่สามารถจัดการกับความเครียดได้","negative"
"มีความหวังที่เห็นความเปลี่ยนแปลงดีขึ้น","positive"
"รู้สึกกลัวกับการเผชิญหน้ากับปัญหาใหม่ๆ","negative"
"มีความสุขที่ได้แบ่งปันประสบการณ์ดีๆ","positive"
"รู้สึกเหนื่อยล้าจากการทำงานหนัก","negative"
